experimental frequency under nntm distribution	expected frequency under uniform distribution
0	0.000000000000000
0	4.88733347086874e-594
0	2.61840994011269e-293
0	1.27608566556733e-176
0	1.07690016115124e-117
0	1.58613896911809e-83
0	6.98882986215866e-62
0	2.73285782041005e-47
0	5.54292637639211e-37
0	1.96336995365340e-29
0	9.67141080343831e-24
0	2.40722631552479e-19
0	6.99191817345004e-16
0	4.15764934622471e-13
0	7.46340113153343e-11
0	5.32493669962674e-9
0	1.84318296363794e-7
0	3.58819910466777e-6
0	0.0000439324003825620
0	0.000368695275641791
0	0.00226841846127770
0	0.0107905597702812
0	0.0414078567420095
0	0.132653353657996
0	0.364791006504292
0	0.880973022190341
0	1.90386649646684
0	3.73970393047707
0	6.76418196272579
0	11.3896910754970
0	18.0188196669273
0	26.9928157498883
0	38.5446373423847
2	52.7645529368588
0	69.5829665630682
2	88.7714555091315
2	109.959893137237
6	132.665506603653
8	156.328883912931
12	180.352099522698
25	204.134942503163
27	227.106367310289
38	248.749470228934
43	268.619341681197
49	286.353960925855
64	301.678858909910
72	314.406596148188
85	324.432228717036
127	331.725918360488
107	336.323732013213
126	338.317513897541
120	337.844532159870
147	335.077424427017
186	330.214806791565
189	323.472775874174
199	315.077426069633
197	305.258422836929
225	294.243614944790
236	282.254630004110
258	269.503374278835
211	256.189345807426
261	242.497665956239
255	228.597735965169
268	214.642429769217
253	200.767740891946
269	187.092808488692
264	173.720255021138
226	160.736775196385
278	148.213922517274
228	136.209046001246
252	124.766335336530
224	113.917937994761
242	103.685116656411
260	94.0794197751202
207	85.1038422450433
233	76.7539569667178
224	69.0190016461682
217	61.8829084158632
188	55.3252668363161
206	49.3222135228670
165	43.8472440426617
174	38.8719448428235
153	34.3666448057936
143	30.3009875886603
151	26.6444272003458
150	23.3666503174923
145	20.4379296534194
131	17.8294132936507
95	15.5133553169988
104	13.4632932549387
99	11.6541780263339
106	10.0624619417212
96	8.66615022293116
87	7.44482125036241
76	6.37962045092566
54	5.45323239205418
59	4.64983526698876
59	3.95504155761875
63	3.35582825541604
55	2.84045961845651
49	2.39840505138149
52	2.02025432190233
49	1.69763197700987
35	1.42311249791922
41	1.19013743720856
26	0.992935515768942
28	0.826446421327068
20	0.686248843943205
25	0.568493105929958
28	0.469838592536732
21	0.387396063617548
17	0.318674823244180
20	0.261534641613461
