experimental frequency under nntm distribution	expected frequency under uniform distribution
0	5.23335989064034e-128
0	5.52956466339044e-127
0	5.77810441815986e-126
0	5.97142496310103e-125
0	6.10355174237318e-124
0	6.17039712599520e-123
0	6.16997040420225e-122
0	6.10247544316043e-121
0	5.97028938698423e-120
0	5.77782478578539e-119
0	5.53128621998443e-118
0	5.23834005084240e-117
0	4.90772166937075e-116
0	4.54880806850802e-115
0	4.17118451490005e-114
0	3.78423260587764e-113
0	3.39676337093320e-112
0	3.01671381714685e-111
0	2.65091904994692e-110
0	2.30496549231605e-109
0	1.98312440972522e-108
0	1.68835945648435e-107
0	1.42239767683023e-106
0	1.18585053625666e-105
0	9.78370171113574e-105
0	7.98826023495704e-104
0	6.45488154617793e-103
0	5.16205510564603e-102
0	4.08569926802810e-101
0	3.20059388477372e-100
0	2.48156738437047e-99
0	1.90442430450993e-98
0	1.44661917158072e-97
0	1.08769766327380e-96
0	8.09536019829578e-96
0	5.96415046017690e-95
0	4.34966463040071e-94
0	3.14027705985504e-93
0	2.24437448689640e-92
0	1.58799051286976e-91
0	1.11233519399295e-90
0	7.71380275834240e-90
0	5.29610091018407e-89
0	3.60005014367409e-88
0	2.42289752107828e-87
0	1.61452685530921e-86
0	1.06524298567376e-85
0	6.95912507033635e-85
0	4.50165732471315e-84
0	2.88344224444618e-83
0	1.82885904610307e-82
0	1.14865182193842e-81
0	7.14405401449503e-81
0	4.40005481248447e-80
0	2.68372047516173e-79
0	1.62102992910401e-78
0	9.69679012336767e-78
0	5.74455959634003e-77
0	3.37043348180607e-76
0	1.95849957270428e-75
0	1.12714100509484e-74
0	6.42478117803317e-74
0	3.62720378819891e-73
0	2.02827681877511e-72
0	1.12339428938344e-71
0	6.16303875801747e-71
0	3.34906214679864e-70
0	1.80270633036520e-69
0	9.61187270777700e-69
0	5.07668245567327e-68
0	2.65612551707999e-67
0	1.37664313202822e-66
0	7.06815143249207e-66
0	3.59508744685223e-65
0	1.81150522807409e-64
0	9.04281321556157e-64
0	4.47207023446489e-63
0	2.19109872018195e-62
0	1.06358125309791e-61
0	5.11495554388641e-61
0	2.43715142921229e-60
0	1.15053428581590e-59
0	5.38145723631536e-59
0	2.49396478384612e-58
0	1.14519011859410e-57
0	5.21036823138793e-57
0	2.34892651926706e-56
0	1.04926989848879e-55
0	4.64438579512814e-55
0	2.03703794125157e-54
0	8.85331897331113e-54
0	3.81290179095976e-53
0	1.62724870996524e-52
0	6.88188324511125e-52
0	2.88417691165119e-51
0	1.19785390032832e-50
0	4.93013986972997e-50
0	2.01091671259879e-49
0	8.12857367783476e-49
0	3.25631149736684e-48
0	1.29281008667735e-47
0	5.08682177761668e-47
0	1.98365923424864e-46
0	7.66658711579502e-46
0	2.93668384619323e-45
0	1.11490542320400e-44
0	4.19517543494028e-44
0	1.56458438688491e-43
0	5.78349113438196e-43
0	2.11898935380375e-42
0	7.69520946726144e-42
0	2.76994018923758e-41
0	9.88288783181773e-41
0	3.49515207793546e-40
0	1.22524286804128e-39
0	4.25752587659317e-39
0	1.46648113527098e-38
0	5.00708257991828e-38
0	1.69467759556866e-37
0	5.68575847063694e-37
0	1.89100897740460e-36
0	6.23458387889835e-36
0	2.03767463854278e-35
0	6.60207475723721e-35
0	2.12055217957709e-34
0	6.75219648749553e-34
0	2.13144127964771e-33
0	6.67019349049393e-33
0	2.06940156658870e-32
0	6.36497754571979e-32
0	1.94088219407839e-31
0	5.86754010704767e-31
0	1.75861956469999e-30
0	5.22577835079175e-30
0	1.53956343812916e-29
0	4.49692802035012e-29
0	1.30229751287957e-28
0	3.73925046683467e-28
0	1.06449364741366e-27
0	3.00462187374384e-27
0	8.40869942736687e-27
0	2.33326500067893e-26
0	6.41947450663682e-26
0	1.75121296886031e-25
0	4.73681459641206e-25
0	1.27041485879691e-24
0	3.37847167380845e-24
0	8.90869892521888e-24
0	2.32933133586530e-23
1	6.03913739089326e-23
0	1.55256157090881e-22
0	3.95782535174681e-22
0	1.00046486931030e-21
2	2.50777170702968e-21
0	6.23330773144481e-21
0	1.53637415241884e-20
1	3.75514466750623e-20
1	9.10145814324789e-20
3	2.18752603573810e-19
3	5.21382834531561e-19
4	1.23232348917149e-18
6	2.88842066765722e-18
4	6.71377935765272e-18
12	1.54756085680886e-17
9	3.53757431510156e-17
8	8.01943272150611e-17
12	1.80287246843834e-16
17	4.01950574531793e-16
27	8.88729427912777e-16
17	1.94876138209363e-15
28	4.23782352331928e-15
22	9.13955469098998e-15
34	1.95482553735527e-14
42	4.14662316886528e-14
37	8.72343438784920e-14
29	1.82007599507757e-13
41	3.76619962449467e-13
48	7.72914765967533e-13
49	1.57317471453882e-12
41	3.17571844855810e-12
39	6.35812806805142e-12
36	1.26252889423581e-11
43	2.48645528630974e-11
43	4.85679439744156e-11
36	9.40916216451968e-11
40	1.80795142211332e-10
29	3.44555746082878e-10
30	6.51285647181458e-10
31	1.22102650475077e-9
29	2.27050529402187e-9
33	4.18760807701863e-9
18	7.66051253857260e-9
17	1.38995292154890e-8
15	2.50146805469193e-8
13	4.46523736865568e-8
14	7.90589313954231e-8
5	1.38840502893586e-7
8	2.41847879089740e-7
5	4.17860425427525e-7
7	7.16118693774476e-7
5	1.21732212216480e-6
3	2.05255426261247e-6
0	3.43284561818534e-6
3	5.69490159573696e-6
0	9.37113736231550e-6
0	0.0000152958735238432
0	0.0000247647476100319
0	0.0000397715834633565
0	0.0000633567503399134
0	0.000100114179255624
0	0.000156921552799031
0	0.000243980716293269
0	0.000376284100473969
0	0.000575658904549207
0	0.000873584824247697
0	0.00131503376126991
0	0.00196364119907784
0	0.00290858789740377
0	0.00427364514890757
0	0.00622891333963463
0	0.00900585620294310
0	0.0129162937647473
0	0.0183760546248047
0	0.0259339891246801
0	0.0363069926236460
0	0.0504215638490609
0	0.0694622072190166
0	0.0949266606246865
0	0.128687474410572
0	0.173058871499873
0	0.230867079632701
0	0.305521453484117
0	0.401082721626845
0	0.522323644259942
