experimental frequency under nntm distribution	expected frequency under uniform distribution
4088	2503.75187593797
2946	2503.75187593797
1633	1876.87358952386
791	1249.99530310974
311	780.072256827884
147	467.104450678282
49	271.794009685523
26	154.843058874196
3	86.7929953307901
3	48.0244882036924
2	26.2939505549628
0	14.2700112121044
1	7.68679852408440
0	4.11403602160502
0	2.18951395320397
0	1.15950066876662
0	0.611325239130357
0	0.321030117563143
0	0.167978572367859
0	0.0876060497038116
0	0.0455516044190107
0	0.0236191067450684
0	0.0122152063991256
0	0.00630219502831142
0	0.00324416790486917
0	0.00166645706967444
0	0.000854311825379124
0	0.000437136041068080
0	0.000223273007277434
0	0.000113844612322627
0	0.0000579534026162415
0	0.0000294554666326452
0	0.0000149486118790229
0	7.57545641601952e-6
0	3.83365037308217e-6
0	1.93746019727778e-6
0	9.77887166985112e-7
0	4.92944361636681e-7
0	2.48185492899501e-7
0	1.24807042740147e-7
0	6.26902144238409e-8
0	3.14536542584950e-8
0	1.57639466813203e-8
0	7.89209429372992e-9
0	3.94696461888237e-9
0	1.97191124425682e-9
0	9.84177701751903e-10
0	4.90715739328338e-10
0	2.44435629251968e-10
0	1.21642220522565e-10
0	6.04778407831531e-11
0	3.00404687257624e-11
0	1.49080766332544e-11
0	7.39173944493166e-12
0	3.66173667828044e-12
0	1.81237471955294e-12
0	8.96260007625403e-13
0	4.42842835718863e-13
0	2.18624590271482e-13
0	1.07841554837742e-13
0	5.31514075502501e-14
0	2.61751056925380e-14
0	1.28798415890456e-14
0	6.33263102134893e-15
0	3.11108907734875e-15
0	1.52720791474975e-15
0	7.49107345225744e-16
0	3.67157739335173e-16
0	1.79815242796831e-16
0	8.79969916127467e-17
0	4.30307439546002e-17
0	2.10262433641758e-17
0	1.02664030910362e-17
0	5.00899528612712e-18
0	2.44208299488613e-18
0	1.18973274109837e-18
0	5.79187570570016e-19
0	2.81754868140720e-19
0	1.36964328712568e-19
0	6.65317229663899e-20
0	3.22951015858219e-20
0	1.56650720613317e-20
0	7.59306653333527e-21
0	3.67783490284572e-21
0	1.78015806002467e-21
0	8.61027953428859e-22
0	4.16168570009093e-22
0	2.01009039032430e-22
0	9.70190623673012e-23
0	4.67944756955999e-23
0	2.25542781697959e-23
0	1.08632776671026e-23
0	5.22866908712074e-24
0	2.51489844762854e-24
0	1.20878600205165e-24
0	5.80602210627196e-25
0	2.78681942138934e-25
0	1.33671988181961e-25
0	6.40728359975566e-26
0	3.06909225060066e-26
0	1.46909155123539e-26
0	7.02734285517755e-27
0	3.35921036335386e-27
0	1.60467625443732e-27
0	7.66023655456987e-28
0	3.65427989104462e-28
0	1.74207410528136e-28
0	8.29921336318958e-29
0	3.95105429655187e-29
0	1.87972832195063e-29
0	8.93682857334341e-30
0	4.24598291433166e-30
0	2.01594987109024e-30
0	9.56506813431540e-31
0	4.53527289406392e-31
0	2.14894819211946e-31
0	1.01755001013850e-31
0	4.81496343026470e-32
0	2.27686738803612e-32
0	1.07594502173779e-32
0	5.08101055147420e-33
0	2.39782698984761e-33
0	1.13081970681154e-33
0	5.32938016695016e-34
0	2.50996614314427e-34
0	1.18131811006043e-34
0	5.55614655973727e-35
0	2.61148984273539e-35
0	1.22662208306729e-35
0	5.75759310474272e-36
0	2.70071566920825e-36
0	1.26597288598468e-36
0	5.93031170771517e-37
0	2.77611937230106e-37
0	1.29869199238013e-37
0	6.07129732886656e-38
0	2.83637760973476e-38
0	1.32420031460462e-38
0	6.17803398886747e-39
0	2.88040619253533e-39
0	1.34203509915790e-39
0	6.24856886170144e-40
0	2.90739231047197e-40
0	1.35186381062638e-40
0	6.28157143512076e-41
0	2.91681941095162e-41
0	1.35349442670547e-41
0	6.27637525179639e-42
0	2.90848367378133e-42
0	1.34688170128129e-42
0	6.23300040957105e-43
0	2.88250135050000e-43
0	1.33212911128741e-43
0	6.15215576580018e-44
0	2.83930660461541e-44
0	1.30948637821148e-44
0	6.03522062008870e-45
0	2.77963987936159e-45
0	1.27934263770093e-45
0	5.88420649880492e-46
0	2.70452721213424e-46
0	1.24221551111748e-46
0	5.70170048877264e-47
0	2.61525128878745e-47
0	1.19873650154629e-47
0	5.49079232276962e-48
0	2.51331536664073e-48
0	1.14963328474874e-48
0	5.25498806604352e-49
0	2.40040147473071e-49
0	1.09570958514305e-49
0	4.99811375760995e-50
0	2.27832450928285e-50
0	1.03782341210385e-50
0	4.72421269783065e-51
