experimental frequency under nntm distribution	expected frequency under uniform distribution
0	4.88733347086874e-594
0	2.44122306869894e-588
0	4.05650713656496e-583
0	3.36354078327080e-578
0	1.67001818013865e-573
0	5.51673805627002e-569
0	1.29909986661732e-564
0	2.28976094740302e-560
0	3.13269827750698e-556
0	3.42185329007261e-552
0	3.05195094941576e-548
0	2.26378461672914e-544
0	1.41795922443191e-540
0	7.59742552450616e-537
0	3.52079893656664e-533
0	1.42476463965954e-529
0	5.07698117405739e-526
0	1.60484370398459e-522
0	4.52972297227645e-519
0	1.14833483883125e-515
0	2.62853844608473e-512
0	5.45859817303595e-509
0	1.03288543951608e-505
0	1.78791346878668e-502
0	2.84144743998080e-499
0	4.15987905213189e-496
0	5.62739193996730e-493
0	7.05435264059642e-490
0	8.21637479798018e-487
0	8.91346336877157e-484
0	9.02722983133858e-481
0	8.55339126549403e-478
0	7.59754979157507e-475
0	6.33844212807718e-472
0	4.97552793072581e-469
0	3.68106141408198e-466
0	2.57082897227019e-463
0	1.69742731257862e-460
0	1.06107074692085e-457
0	6.28808209137747e-455
0	3.53727622818366e-452
0	1.89114865662892e-449
0	9.62037583674106e-447
0	4.66174328191291e-444
0	2.15403617912922e-441
0	9.50044420686666e-439
0	4.00350125048567e-436
0	1.61340035633601e-433
0	6.22349980309518e-431
0	2.29977877295177e-428
0	8.14798091146382e-426
0	2.76991409906871e-423
0	9.04194034490334e-421
0	2.83628797913314e-418
0	8.55529502209485e-416
0	2.48317438016303e-413
0	6.93981892561352e-411
0	1.86865435239859e-408
0	4.85077987481527e-406
0	1.21464350231455e-403
0	2.93552121185058e-401
0	6.85105011330521e-399
0	1.54487496694756e-396
0	3.36755922048615e-394
0	7.09965672658993e-392
0	1.44832997222435e-389
0	2.86027155459927e-387
0	5.47081553698860e-385
0	1.01389183185884e-382
0	1.82141994072310e-380
0	3.17311876715550e-378
0	5.36283141873892e-376
0	8.79634954351569e-374
0	1.40079831042329e-371
0	2.16657310137653e-369
0	3.25575121049837e-367
0	4.75511032059630e-365
0	6.75225665524675e-363
0	9.32523681784309e-361
0	1.25294885232805e-358
0	1.63834663820155e-356
0	2.08550032470136e-354
0	2.58509501165399e-352
0	3.12126863364946e-350
0	3.67195834277843e-348
0	4.21014386513860e-346
0	4.70594148069241e-344
0	5.12934098575126e-342
0	5.45323869743578e-340
0	5.65633609671406e-338
0	5.72546909345168e-336
0	5.65701239776910e-334
0	5.45715245064455e-332
0	5.14100965870856e-330
0	4.73077666177659e-328
0	4.25318608365184e-326
0	3.73670167392315e-324
0	3.20883065100311e-322
0	2.69388973224690e-320
0	2.21144401330961e-318
0	1.77550490137898e-316
0	1.39444866599275e-314
0	1.07152217490318e-312
0	8.05748264579499e-311
0	5.93030722730511e-309
0	4.27280500603820e-307
0	3.01428272745666e-305
0	2.08240611042160e-303
0	1.40906649821015e-301
0	9.34017180079632e-300
0	6.06606292900366e-298
0	3.86062552289011e-296
0	2.40810787593725e-294
0	1.47241159534951e-292
0	8.82640556351228e-291
0	5.18806061949446e-289
0	2.99058896629480e-287
0	1.69083732478536e-285
0	9.37782547761561e-284
0	5.10291615180489e-282
0	2.72464795741825e-280
0	1.42769928737445e-278
0	7.34268997349514e-277
0	3.70699930221027e-275
0	1.83736105027203e-273
0	8.94182377799053e-272
0	4.27337816161621e-270
0	2.00578007140102e-268
0	9.24728751232105e-267
0	4.18808934589027e-265
0	1.86353990818278e-263
0	8.14765253749379e-262
0	3.50063176567058e-260
0	1.47818507409156e-258
0	6.13517895909108e-257
0	2.50315969851064e-255
0	1.00405830414283e-253
0	3.95989633679585e-252
0	1.53570568466294e-250
0	5.85700470942709e-249
0	2.19699985164254e-247
0	8.10614159625618e-246
0	2.94218688641580e-244
0	1.05060590069098e-242
0	3.69116898419394e-241
0	1.27609483049214e-239
0	4.34146939884654e-238
0	1.45366587664210e-236
0	4.79076908146610e-235
0	1.55416407340276e-233
0	4.96337564015843e-232
0	1.56056989836194e-230
0	4.83116365439232e-229
0	1.47271550876378e-227
0	4.42099694340506e-226
0	1.30704635439701e-224
0	3.80597468164650e-223
0	1.09163933652908e-221
0	3.08435694174174e-220
0	8.58530269772030e-219
0	2.35442594634221e-217
0	6.36187880509215e-216
0	1.69390383777997e-214
0	4.44453956023455e-213
0	1.14929288823431e-211
0	2.92908139306624e-210
0	7.35799361993145e-209
0	1.82198461777375e-207
0	4.44751116954001e-206
0	1.07030060651953e-204
0	2.53945110882255e-203
0	5.94084089639444e-202
0	1.37043435991931e-200
0	3.11744452382203e-199
0	6.99353888049877e-198
0	1.54732047731035e-196
0	3.37656799074081e-195
0	7.26790559276602e-194
0	1.54314912464370e-192
0	3.23219337230074e-191
0	6.67887422375785e-190
0	1.36160474506445e-188
0	2.73883446261324e-187
0	5.43590967085769e-186
0	1.06462067335195e-184
0	2.05758597095606e-183
0	3.92451011727894e-182
0	7.38755875080524e-181
0	1.37254903599476e-179
0	2.51703553821137e-178
0	4.55625741363028e-177
0	8.14155192129632e-176
0	1.43617889882816e-174
0	2.50111924591179e-173
0	4.30037801889864e-172
0	7.30040363684459e-171
0	1.22370435145513e-169
0	2.02542740540340e-168
0	3.31045987930619e-167
0	5.34333177735189e-166
0	8.51743035554003e-165
0	1.34090475426363e-163
0	2.08497184101838e-162
0	3.20210229092712e-161
0	4.85760908319382e-160
0	7.27916689563512e-159
0	1.07753588469860e-157
0	1.57576609418756e-156
0	2.27656733081307e-155
0	3.24950031640266e-154
0	4.58266813973563e-153
0	6.38563640833993e-152
0	8.79208631284880e-151
0	1.19618820574592e-149
0	1.60821667612850e-148
0	2.13670493397512e-147
0	2.80554208176662e-146
0	3.64064543359878e-145
0	4.66924100972966e-144
0	5.91884930005046e-143
0	7.41597000535734e-142
0	9.18448431506099e-141
0	1.12438228355240e-139
0	1.36069794342794e-138
0	1.62784830632096e-137
0	1.92524674812473e-136
0	2.25109988277771e-135
0	2.60228294703159e-134
0	2.97427404109933e-133
0	3.36116119337538e-132
0	3.75573228998901e-131
0	4.14965248707120e-130
0	4.53372717486375e-129
0	4.89824143413034e-128
0	5.23335989064034e-127
0	5.52956466339044e-126
0	5.77810441815986e-125
0	5.97142496310103e-124
0	6.10355174237318e-123
0	6.17039712599520e-122
0	6.16997040420225e-121
0	6.10247544316044e-120
0	5.97028938698423e-119
0	5.77782478578539e-118
0	5.53128621998443e-117
0	5.23834005084240e-116
0	4.90772166937075e-115
0	4.54880806850802e-114
0	4.17118451490005e-113
0	3.78423260587764e-112
0	3.39676337093320e-111
0	3.01671381714685e-110
0	2.65091904994692e-109
0	2.30496549231605e-108
0	1.98312440972522e-107
0	1.68835945648435e-106
0	1.42239767683023e-105
0	1.18585053625666e-104
0	9.78370171113574e-104
0	7.98826023495704e-103
0	6.45488154617793e-102
0	5.16205510564603e-101
0	4.08569926802810e-100
0	3.20059388477372e-99
0	2.48156738437047e-98
0	1.90442430450993e-97
0	1.44661917158072e-96
0	1.08769766327380e-95
0	8.09536019829578e-95
0	5.96415046017691e-94
0	4.34966463040071e-93
0	3.14027705985504e-92
0	2.24437448689640e-91
0	1.58799051286976e-90
0	1.11233519399295e-89
0	7.71380275834240e-89
0	5.29610091018407e-88
0	3.60005014367409e-87
0	2.42289752107828e-86
0	1.61452685530921e-85
0	1.06524298567376e-84
0	6.95912507033635e-84
0	4.50165732471315e-83
0	2.88344224444618e-82
0	1.82885904610307e-81
0	1.14865182193842e-80
0	7.14405401449503e-80
0	4.40005481248447e-79
0	2.68372047516173e-78
0	1.62102992910401e-77
0	9.69679012336767e-77
0	5.74455959634003e-76
0	3.37043348180607e-75
0	1.95849957270428e-74
0	1.12714100509484e-73
0	6.42478117803317e-73
0	3.62720378819891e-72
0	2.02827681877511e-71
0	1.12339428938344e-70
0	6.16303875801747e-70
0	3.34906214679864e-69
0	1.80270633036520e-68
0	9.61187270777700e-68
0	5.07668245567327e-67
0	2.65612551707999e-66
0	1.37664313202822e-65
0	7.06815143249207e-65
0	3.59508744685224e-64
0	1.81150522807409e-63
0	9.04281321556157e-63
0	4.47207023446489e-62
0	2.19109872018195e-61
0	1.06358125309791e-60
0	5.11495554388641e-60
0	2.43715142921229e-59
0	1.15053428581590e-58
0	5.38145723631536e-58
0	2.49396478384612e-57
0	1.14519011859410e-56
0	5.21036823138793e-56
0	2.34892651926706e-55
0	1.04926989848879e-54
0	4.64438579512814e-54
0	2.03703794125157e-53
0	8.85331897331113e-53
0	3.81290179095976e-52
0	1.62724870996524e-51
0	6.88188324511125e-51
0	2.88417691165119e-50
0	1.19785390032832e-49
0	4.93013986972997e-49
0	2.01091671259879e-48
0	8.12857367783476e-48
0	3.25631149736684e-47
0	1.29281008667735e-46
0	5.08682177761668e-46
0	1.98365923424864e-45
0	7.66658711579502e-45
0	2.93668384619323e-44
0	1.11490542320400e-43
0	4.19517543494028e-43
0	1.56458438688491e-42
0	5.78349113438196e-42
0	2.11898935380375e-41
0	7.69520946726144e-41
0	2.76994018923758e-40
0	9.88288783181773e-40
0	3.49515207793546e-39
0	1.22524286804128e-38
0	4.25752587659317e-38
0	1.46648113527098e-37
0	5.00708257991828e-37
0	1.69467759556866e-36
0	5.68575847063694e-36
0	1.89100897740460e-35
0	6.23458387889835e-35
0	2.03767463854278e-34
0	6.60207475723721e-34
0	2.12055217957709e-33
0	6.75219648749553e-33
0	2.13144127964771e-32
0	6.67019349049393e-32
0	2.06940156658870e-31
0	6.36497754571979e-31
0	1.94088219407839e-30
0	5.86754010704767e-30
0	1.75861956469999e-29
0	5.22577835079175e-29
0	1.53956343812916e-28
0	4.49692802035012e-28
0	1.30229751287957e-27
0	3.73925046683467e-27
0	1.06449364741366e-26
0	3.00462187374384e-26
0	8.40869942736687e-26
0	2.33326500067893e-25
0	6.41947450663682e-25
0	1.75121296886031e-24
0	4.73681459641206e-24
1	1.27041485879691e-23
2	3.37847167380845e-23
2	8.90869892521888e-23
2	2.32933133586530e-22
1	6.03913739089326e-22
2	1.55256157090881e-21
2	3.95782535174681e-21
5	1.00046486931030e-20
6	2.50777170702968e-20
8	6.23330773144481e-20
16	1.53637415241884e-19
16	3.75514466750623e-19
26	9.10145814324789e-19
35	2.18752603573810e-18
36	5.21382834531560e-18
33	1.23232348917149e-17
37	2.88842066765722e-17
63	6.71377935765272e-17
90	1.54756085680886e-16
90	3.53757431510156e-16
119	8.01943272150611e-16
120	1.80287246843834e-15
162	4.01950574531793e-15
155	8.88729427912777e-15
185	1.94876138209363e-14
243	4.23782352331928e-14
264	9.13955469098998e-14
282	1.95482553735527e-13
324	4.14662316886528e-13
365	8.72343438784920e-13
366	1.82007599507757e-12
398	3.76619962449467e-12
386	7.72914765967533e-12
412	1.57317471453882e-11
440	3.17571844855810e-11
458	6.35812806805142e-11
448	1.26252889423581e-10
427	2.48645528630974e-10
425	4.85679439744156e-10
395	9.40916216451968e-10
366	1.80795142211332e-9
369	3.44555746082878e-9
352	6.51285647181458e-9
258	1.22102650475077e-8
276	2.27050529402187e-8
245	4.18760807701863e-8
193	7.66051253857261e-8
186	1.38995292154890e-7
167	2.50146805469193e-7
127	4.46523736865568e-7
133	7.90589313954231e-7
98	1.38840502893586e-6
81	2.41847879089740e-6
76	4.17860425427526e-6
64	7.16118693774477e-6
39	0.0000121732212216480
29	0.0000205255426261247
20	0.0000343284561818534
19	0.0000569490159573696
10	0.0000937113736231550
13	0.000152958735238432
11	0.000247647476100319
7	0.000397715834633565
1	0.000633567503399134
3	0.00100114179255624
4	0.00156921552799031
1	0.00243980716293269
1	0.00376284100473969
1	0.00575658904549207
1	0.00873584824247697
0	0.0131503376126991
0	0.0196364119907784
1	0.0290858789740377
1	0.0427364514890757
0	0.0622891333963463
0	0.0900585620294310
0	0.129162937647473
0	0.183760546248047
0	0.259339891246801
0	0.363069926236460
0	0.504215638490609
0	0.694622072190166
0	0.949266606246865
0	1.28687474410572
0	1.73058871499873
0	2.30867079632701
0	3.05521453484117
0	4.01082721626845
0	5.22323644259942
0	6.74776316548084
0	8.64759384903604
0	10.9937766496554
0	13.8648618125152
0	17.3461061856221
0	21.5281671117406
0	26.5052230944202
0	32.3724783614513
0	39.2230361205154
0	47.1441606576120
0	56.2129904721833
0	66.4918115640045
0	78.0230491550593
0	90.8241841683880
0	104.882843741990
0	120.152348660949
0	136.548020605686
0	153.944554731471
0	172.174745367065
0	191.029812871875
0	210.261517858775
0	229.586166856254
0	248.690514752934
0	267.239459559528
0	284.885311174435
0	301.278306020492
0	316.077942105709
0	328.964632397654
0	339.651125453734
0	347.893126291997
0	353.498570423928
0	356.335059954945
0	356.335059954945
0	353.498570423928
0	347.893126291997
0	339.651125453734
0	328.964632397654
0	316.077942105709
0	301.278306020492
0	284.885311174435
0	267.239459559528
0	248.690514752934
0	229.586166856254
0	210.261517858775
0	191.029812871875
0	172.174745367065
0	153.944554731471
0	136.548020605686
0	120.152348660949
0	104.882843741990
0	90.8241841683880
0	78.0230491550593
0	66.4918115640045
0	56.2129904721833
0	47.1441606576120
0	39.2230361205154
0	32.3724783614513
0	26.5052230944202
0	21.5281671117406
0	17.3461061856221
0	13.8648618125152
0	10.9937766496554
0	8.64759384903604
0	6.74776316548084
0	5.22323644259942
0	4.01082721626845
0	3.05521453484117
0	2.30867079632701
0	1.73058871499873
0	1.28687474410572
0	0.949266606246865
0	0.694622072190166
0	0.504215638490609
0	0.363069926236460
0	0.259339891246801
0	0.183760546248047
0	0.129162937647473
0	0.0900585620294310
0	0.0622891333963463
0	0.0427364514890757
0	0.0290858789740377
0	0.0196364119907784
0	0.0131503376126991
0	0.00873584824247697
0	0.00575658904549207
0	0.00376284100473969
0	0.00243980716293269
0	0.00156921552799031
0	0.00100114179255624
0	0.000633567503399134
0	0.000397715834633565
0	0.000247647476100319
0	0.000152958735238432
0	0.0000937113736231550
0	0.0000569490159573696
0	0.0000343284561818534
0	0.0000205255426261247
0	0.0000121732212216480
0	7.16118693774477e-6
0	4.17860425427526e-6
0	2.41847879089740e-6
0	1.38840502893586e-6
0	7.90589313954231e-7
0	4.46523736865568e-7
0	2.50146805469193e-7
0	1.38995292154890e-7
0	7.66051253857261e-8
0	4.18760807701863e-8
0	2.27050529402187e-8
0	1.22102650475077e-8
0	6.51285647181458e-9
0	3.44555746082878e-9
0	1.80795142211332e-9
0	9.40916216451968e-10
0	4.85679439744156e-10
0	2.48645528630974e-10
0	1.26252889423581e-10
0	6.35812806805142e-11
0	3.17571844855810e-11
0	1.57317471453882e-11
0	7.72914765967533e-12
0	3.76619962449467e-12
0	1.82007599507757e-12
0	8.72343438784920e-13
0	4.14662316886528e-13
0	1.95482553735527e-13
0	9.13955469098998e-14
0	4.23782352331928e-14
0	1.94876138209363e-14
